Character,Original voice actor,Animated debut
Grandmother Fa,June Foray[45],Mulan
Grandmother Willow,Linda Hunt[35],Pocahontas
Great Prince of the Forest,Fred Shields[30],Bambi
Grimsby,Ben Wright[5],The Little Mermaid
Grumpy,Pinto Colvig[33],Snow White and the Seven Dwarfs
Grunkle Stan,Alex Hirsch,Gravity Falls
Gunther Magnuson,Matt Jones,Kick Buttowski: Suburban Daredevil
Gurgi,John Byner[48],The Black Cauldron
Gus Lollygagger,Jimmy MacDonald[16]Corey Burton,Cinderella
Gus Goose,Clarence Nash,Donald's Cousin Gus
Gyro Gearloose,Hal Smith,DuckTales
Hades,James Woods[13],Hercules
Hands,Michael McShane[28],Treasure Planet
Hannibal McFist,John DiMaggio,Randy Cunningham: 9th Grade Ninja
Happy,Otis Harlan[33],Snow White and the Seven Dwarfs
Harold the Seahorse,Will Ryan[5],The Little Mermaid
Haroud Hazi Bin,James Avery,Aladdin (TV series)
"Harold ""Harry"" Buttowski",Brian Stepanek,Kick Buttowski: Suburban Daredevil
Harvey Fenner,Corey Burton[42],The Princess and the Frog
Headless Horseman,None,The Adventures of Ichabod and Mr. Toad
Heidi Weinerman,Cassie Scerbo,Randy Cunningham: 9th Grade Ninja
Heihei the Rooster,Alan Tudyk,Moana
Hekapoo,Zosia Mamet,Star vs. the Forces of Evil
Helga Sinclair,Claudia Christian[25],Atlantis: The Lost Empire
Hen Wen,None,The Black Cauldron
Henry Fenner,Jerry Kernion[42],The Princess and the Frog
Hera,Samantha Eggar[13],Hercules
Herb Muddlefoot,Jim Cummings,Darkwing Duck
Hercules,Tate Donovan[13]Joshua Keaton[13],Hercules
Hermes,Paul Shaffer[13],Hercules
Hieronymus Bump,Bumper Robinson,The Owl House
Hiram Flaversham,Alan Young[32],The Great Mouse Detective
Hiro Hamada,Ryan Potter[34],Big Hero 6
Hit Cat the English Cat,Lord Tim Hudson[2],The Aristocats
Honey Lemon,Genesis Rodriguez[34],Big Hero 6
Honker Muddlefoot,Katie Leigh,Darkwing Duck
Hook Hand,Brad Garrett[56],Tangled
